session,wfz,b2_key,local_bytes,b2_bytes,present,size_matches,error
AL_0033/2025-01-29/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-29\1\widefield.wfz,subjects/AL_0033/2025-01-29/1/widefield.wfz,101523992747,101523992747,True,True,
ZYE_0058/2022-01-31/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-01-31\1\widefield.wfz,subjects/ZYE_0058/2022-01-31/1/widefield.wfz,106119119412,106119119412,True,True,
ZYE_0069/2023-08-24/4,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-08-24\4\widefield.wfz,subjects/ZYE_0069/2023-08-24/4/widefield.wfz,108084581329,108084581329,True,True,
ZYE_0057/2022-01-28/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0057\2022-01-28\1\widefield.wfz,subjects/ZYE_0057/2022-01-28/1/widefield.wfz,105950720320,105950720320,True,True,
AL_0046/2026-02-22/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0046\2026-02-22\1\widefield.wfz,subjects/AL_0046/2026-02-22/1/widefield.wfz,90569317533,90569317533,True,True,
AL_0039/2025-06-20/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-06-20\3\widefield.wfz,subjects/AL_0039/2025-06-20/3/widefield.wfz,96217221427,96217221427,True,True,
AL_0033/2025-01-16/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-16\3\widefield.wfz,subjects/AL_0033/2025-01-16/3/widefield.wfz,96244698605,96244698605,True,True,
AL_0035/2025-01-08/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0035\2025-01-08\1\widefield.wfz,subjects/AL_0035/2025-01-08/1/widefield.wfz,104623000213,104623000213,True,True,
ZYE_0058/2022-03-10/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-03-10\1\widefield.wfz,subjects/ZYE_0058/2022-03-10/1/widefield.wfz,105135575699,105135575699,True,True,
ZYE_0058/2022-02-04/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-02-04\1\widefield.wfz,subjects/ZYE_0058/2022-02-04/1/widefield.wfz,101516309829,101516309829,True,True,
