timestamp_utc,event,path,size_bytes,host,pid,note
2026-08-29T06:14:01+00:00,create,Y:/Subjects\NR_0023\2023-12-13\quarterDensity\_spikeglx_ephysData_g0\_spikeglx_ephysData_g0_t0.nidq.cbin,4010132,DESKTOP-KH3D2OM,6732,
2026-08-29T06:14:01+00:00,create,Y:/Subjects\NR_0023\2023-12-13\quarterDensity\_spikeglx_ephysData_g0\_spikeglx_ephysData_g0_t0.nidq.ch,9437,DESKTOP-KH3D2OM,6732,
2026-08-29T06:14:01+00:00,create,Y:/Subjects\AL_0041\2026-04-21\temp\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.lf.cbin.partial-6732,0,DESKTOP-KH3D2OM,6732,temporary output
2026-08-29T06:14:03+00:00,delete,Y:/Subjects\NR_0032\2023-12-13\quarterDensity\_spikeglx_ephysData_g0\_spikeglx_ephysData_g0_t0.nidq.cbin.partial-26564,4019569,DESKTOP-KH3D2OM,26564,renamed into place
2026-08-29T06:14:03+00:00,create,Y:/Subjects\NR_0032\2023-12-13\quarterDensity\_spikeglx_ephysData_g0\_spikeglx_ephysData_g0_t0.nidq.cbin,4010132,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:03+00:00,create,Y:/Subjects\NR_0032\2023-12-13\quarterDensity\_spikeglx_ephysData_g0\_spikeglx_ephysData_g0_t0.nidq.ch,9437,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:03+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_041\2025-07-11\002\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin.partial-26564,0,DESKTOP-KH3D2OM,26564,temporary output
2026-08-29T06:14:05+00:00,delete,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_041\2025-07-11\002\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin.partial-26564,18493817,DESKTOP-KH3D2OM,26564,renamed into place
2026-08-29T06:14:06+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_041\2025-07-11\002\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin,18484845,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:06+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_041\2025-07-11\002\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.ch,8972,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:06+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_061\2025-11-07\003\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin.partial-26564,0,DESKTOP-KH3D2OM,26564,temporary output
2026-08-29T06:14:06+00:00,delete,Y:/Subjects\AL_0041\2026-04-21\temp\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.lf.cbin.partial-6732,12990255,DESKTOP-KH3D2OM,6732,renamed into place
2026-08-29T06:14:06+00:00,create,Y:/Subjects\AL_0041\2026-04-21\temp\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.lf.cbin,12989144,DESKTOP-KH3D2OM,6732,
2026-08-29T06:14:06+00:00,create,Y:/Subjects\AL_0041\2026-04-21\temp\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.lf.ch,1111,DESKTOP-KH3D2OM,6732,
2026-08-29T06:14:06+00:00,create,Y:/Subjects\ZYE_0074\2024-01-27\1\p5_g0\p5_g0_imec0\p5_g0_t0.imec0.lf.cbin.partial-6732,0,DESKTOP-KH3D2OM,6732,temporary output
2026-08-29T06:14:09+00:00,delete,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_061\2025-11-07\003\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin.partial-26564,17936706,DESKTOP-KH3D2OM,26564,renamed into place
2026-08-29T06:14:09+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_061\2025-11-07\003\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.cbin,17927484,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:09+00:00,create,Y:/Subjects\IBL\quarterDensityRecordings\Subjects\KM_061\2025-11-07\003\raw_ephys_data\_spikeglx_ephysData__g0\_spikeglx_ephysData__g0_t0.nidq.ch,9222,DESKTOP-KH3D2OM,26564,
2026-08-29T06:14:09+00:00,create,Y:/Subjects\lightFlipperTest2\p1_g0\p1_g0_imec0\p1_g0_t0.imec0.lf.cbin.partial-26564,0,DESKTOP-KH3D2OM,26564,temporary output
