session,verdict,C1,C2,C3,C4,C5,C7,tar_bytes_now,wfz_bytes_now,b2_wfz_bytes,notes
FD_004/2025-11-14/4,PASS,pass,pass,pass,pass,pass,pass,115457669120,42165363056,42165363056,
FD_004/2025-11-17/1,PASS,pass,pass,pass,pass,pass,pass,121018368000,43964377439,43964377439,
FD_008/2026-06-23/1,REFUSE,pass,pass,pass,pass,pass,fail,129329978880,48701976961,,C7: FileNotPresent: File not present: subjects/FD_008/2026-06-23/1/widefield.wfz
FD_009/2026-06-23/1,REFUSE,pass,pass,pass,pass,pass,fail,129286313472,48862742321,,C7: FileNotPresent: File not present: subjects/FD_009/2026-06-23/1/widefield.wfz
FD_009/2026-06-25/1,PASS,pass,pass,pass,pass,pass,pass,135270372864,51271688467,51271688467,
FD_009/2026-06-26/1,REFUSE,pass,pass,pass,pass,pass,fail,128283907584,48346806278,,C7: FileNotPresent: File not present: subjects/FD_009/2026-06-26/1/widefield.wfz
FD_011/2026-02-25/1,PASS,pass,pass,pass,pass,pass,pass,154289510400,51404634215,51404634215,
FD_011/2026-02-28/1,PASS,pass,pass,pass,pass,pass,pass,151387340800,53028007662,53028007662,
FD_011/2026-03-02/2,PASS,pass,pass,pass,pass,pass,pass,143778170880,49238370184,49238370184,
FD_011/2026-03-03/1,PASS,pass,pass,pass,pass,pass,pass,144416061440,44586924187,44586924187,
FD_011/2026-04-06/1,PASS,pass,pass,pass,pass,pass,pass,121137336320,39814009609,39814009609,
FD_011/2026-04-13/1,PASS,pass,pass,pass,pass,pass,pass,124084439040,39881150064,39881150064,
FD_011/2026-04-14/2,PASS,pass,pass,pass,pass,pass,pass,136096851456,43955658425,43955658425,
FD_012/2026-02-20/1,REFUSE,pass,pass,pass,pass,pass,fail,118232004096,41955268893,,C7: FileNotPresent: File not present: subjects/FD_012/2026-02-20/1/widefield.wfz
FD_012/2026-04-15/1,REFUSE,pass,pass,pass,pass,pass,fail,121577154048,43861704089,,C7: FileNotPresent: File not present: subjects/FD_012/2026-04-15/1/widefield.wfz
FD_012/2026-04-20/1,REFUSE,pass,pass,pass,pass,pass,fail,126789158400,45854785750,,C7: FileNotPresent: File not present: subjects/FD_012/2026-04-20/1/widefield.wfz
FD_012/2026-04-21/1,PASS,pass,pass,pass,pass,pass,pass,124923576320,43757735598,43757735598,
FD_012/2026-04-23/1,PASS,pass,pass,pass,pass,pass,pass,122809282560,42991937505,42991937505,
FD_012/2026-05-05/1,REFUSE,pass,pass,pass,pass,pass,fail,126363262464,42907880516,,C7: FileNotPresent: File not present: subjects/FD_012/2026-05-05/1/widefield.wfz
FD_012/2026-05-06/1,REFUSE,pass,pass,pass,pass,pass,fail,130003312128,44873768130,,C7: FileNotPresent: File not present: subjects/FD_012/2026-05-06/1/widefield.wfz
LK_0001/2021-04-06/2,PASS,pass,pass,pass,pass,pass,pass,286064026112,132876272972,132876272972,
LK_0001/2021-04-07/1,PASS,pass,pass,pass,pass,pass,pass,267944507904,126112644720,126112644720,
LK_0003/2021-04-06/1,PASS,pass,pass,pass,pass,pass,pass,215487057408,97114576223,97114576223,
LK_0003/2021-05-20/3,PASS,pass,pass,pass,pass,pass,pass,231077064192,103503080117,103503080117,
LK_0003/2021-05-21/3,PASS,pass,pass,pass,pass,pass,pass,270123021824,118495014848,118495014848,
SM_0001/2020-09-03/1,PASS,pass,pass,pass,pass,pass,pass,27998839296,12918583663,12918583663,
Subjects/test/2025-11-04,PASS,pass,pass,pass,pass,pass,pass,5484321280,1441369072,1441369072,
XL_009/2026-06-03/1,REFUSE,pass,pass,pass,pass,pass,fail,121628413440,49037479558,,C7: FileNotPresent: File not present: subjects/XL_009/2026-06-03/1/widefield.wfz
ZYE_0007/2020-07-29/1,PASS,pass,pass,pass,pass,pass,pass,31907714048,14704817866,14704817866,
ZYE_0008/2020-07-25/1,PASS,pass,pass,pass,pass,pass,pass,20250793472,8870590325,8870590325,
ZYE_0009/2020-08-15/1,PASS,pass,pass,pass,pass,pass,pass,206335575552,88654585848,88654585848,
ZYE_0009/2020-08-16/1,PASS,pass,pass,pass,pass,pass,pass,189509332992,83117802873,83117802873,
ZYE_0009/2020-08-17/1,PASS,pass,pass,pass,pass,pass,pass,225509617152,98207070777,98207070777,
ZYE_0009/2020-08-18/1,PASS,pass,pass,pass,pass,pass,pass,227348017152,98950145976,98950145976,
ZYE_0009/2020-08-30/1,PASS,pass,pass,pass,pass,pass,pass,213390884352,91639712045,91639712045,
ZYE_0009/2020-08-31/1,PASS,pass,pass,pass,pass,pass,pass,160207296000,69339145933,69339145933,
ZYE_0009/2020-09-02/1,PASS,pass,pass,pass,pass,pass,pass,155688067584,67364577782,67364577782,
ZYE_0009/2020-09-03/1,PASS,pass,pass,pass,pass,pass,pass,157347628032,70777240730,70777240730,
ZYE_0009/2020-09-10/1,PASS,pass,pass,pass,pass,pass,pass,160653080064,70317436648,70317436648,
ZYE_0012/2020-12-03/1,PASS,pass,pass,pass,pass,pass,pass,280892239360,125116891125,125116891125,
ZYE_0014/2020-10-28/1,PASS,pass,pass,pass,pass,pass,pass,142943867392,64859471295,64859471295,
ZYE_0014/2020-12-09/1,PASS,pass,pass,pass,pass,pass,pass,154680313344,70171127576,70171127576,
ZYE_0014/2020-12-10/1,PASS,pass,pass,pass,pass,pass,pass,136994380288,61353466158,61353466158,
ZYE_0014/2020-12-22/1,PASS,pass,pass,pass,pass,pass,pass,133426170368,60362041087,60362041087,
ZYE_0014/2020-12-23/1,PASS,pass,pass,pass,pass,pass,pass,137754610176,61879557481,61879557481,
ZYE_0014/2021-04-06/3,PASS,pass,pass,pass,pass,pass,pass,134946100736,56394627649,56394627649,
ZYE_0016/2020-12-21/1,PASS,pass,pass,pass,pass,pass,pass,144413504000,62997509396,62997509396,
ZYE_0026/2021-03-19/1,PASS,pass,pass,pass,pass,pass,pass,146463371776,67476679333,67476679333,
ZYE_0026/2021-03-22/1,PASS,pass,pass,pass,pass,pass,pass,147369188864,68666344782,68666344782,
ZYE_0027/2021-04-19/1,PASS,pass,pass,pass,pass,pass,pass,134045048320,61592710896,61592710896,
ZYE_0031/2021-09-30/2,PASS,pass,pass,pass,pass,pass,pass,162358746624,72158155822,72158155822,
ZYE_0035/2021-07-17/1,PASS,pass,pass,pass,pass,pass,pass,1570225664,721753613,721753613,
ZYE_0038/2021-09-01/1,PASS,pass,pass,pass,pass,pass,pass,160886779392,71487607045,71487607045,
ZYE_0038/2021-09-02/2,PASS,pass,pass,pass,pass,pass,pass,146985991680,65038900837,65038900837,
ZYE_0041/2021-09-02/2,PASS,pass,pass,pass,pass,pass,pass,203848478208,87971194094,87971194094,
ZYE_0041/2021-09-02/7,PASS,pass,pass,pass,pass,pass,pass,138379476480,60590726226,60590726226,
ZYE_0041/2021-09-03/2,PASS,pass,pass,pass,pass,pass,pass,175507729920,74726288387,74726288387,
ZYE_0043/2021-09-23/1,REFUSE,pass,pass,pass,pass,pass,fail,119154673152,53884700819,,C7: FileNotPresent: File not present: subjects/ZYE_0043/2021-09-23/1/widefield.wfz
ZYE_0043/2021-09-25/1,PASS,pass,pass,pass,pass,pass,pass,168676308480,74829612861,74829612861,
ZYE_0043/2021-09-26/1,PASS,pass,pass,pass,pass,pass,pass,163020688896,73766907534,73766907534,
ZYE_0043/2021-09-27/1,PASS,pass,pass,pass,pass,pass,pass,149714763264,65664931726,65664931726,
ZYE_0045/2021-09-22/1,PASS,pass,pass,pass,pass,pass,pass,184080072192,80691064604,80691064604,
ZYE_0046/2021-11-22/1,PASS,pass,pass,pass,pass,pass,pass,174909070848,77009828725,77009828725,
ZYE_0046/2021-11-24/1,PASS,pass,pass,pass,pass,pass,pass,196947445248,88251027950,88251027950,
ZYE_0046/2021-11-27/2,PASS,pass,pass,pass,pass,pass,pass,430101106176,192366063076,192366063076,
ZYE_0046/2021-11-29/1,PASS,pass,pass,pass,pass,pass,pass,346362244608,155571900071,155571900071,
ZYE_0046/2021-11-30/6,REFUSE,pass,pass,pass,pass,pass,fail,124664741376,54729357143,,C7: FileNotPresent: File not present: subjects/ZYE_0046/2021-11-30/6/widefield.wfz
ZYE_0046/2021-12-01/1,PASS,pass,pass,pass,pass,pass,pass,163064987136,71585416882,71585416882,
ZYE_0048/2021-12-07/1,PASS,pass,pass,pass,pass,pass,pass,193068185088,84262103754,84262103754,
ZYE_0049/2021-12-01/2,PASS,pass,pass,pass,pass,pass,pass,207429674496,92733745745,92733745745,
ZYE_0049/2021-12-02/1,PASS,pass,pass,pass,pass,pass,pass,178629490176,79520568350,79520568350,
ZYE_0049/2021-12-04/1,PASS,pass,pass,pass,pass,pass,pass,208834561536,96260009447,96260009447,
ZYE_0050/2021-12-11/1,PASS,pass,pass,pass,pass,pass,pass,145103949312,65680976418,65680976418,
ZYE_0050/2021-12-12/3,PASS,pass,pass,pass,pass,pass,pass,141575910912,62996160636,62996160636,
ZYE_0052/2021-12-18/2,PASS,pass,pass,pass,pass,pass,pass,138743987712,62884590354,62884590354,
ZYE_0052/2021-12-19/4,REFUSE,pass,pass,pass,pass,pass,fail,119245800960,51092134262,,C7: FileNotPresent: File not present: subjects/ZYE_0052/2021-12-19/4/widefield.wfz
ZYE_0052/2021-12-20/1,PASS,pass,pass,pass,pass,pass,pass,186831625728,83527645002,83527645002,
ZYE_0052/2021-12-21/1,PASS,pass,pass,pass,pass,pass,pass,132206833152,60534575927,60534575927,
ZYE_0052/2021-12-22/4,PASS,pass,pass,pass,pass,pass,pass,137740316160,61438298522,61438298522,
ZYE_0052/2021-12-31/1,PASS,pass,pass,pass,pass,pass,pass,149913472512,66963190062,66963190062,
