session,wfz,b2_key,local_bytes,in_b2,b2_bytes,b2_uploaded_utc,error
test/2026-02-17/1,Y:\Subjects\test\2026-02-17\1\widefield.wfz,subjects/test/2026-02-17/1/widefield.wfz,505364720,True,505364720,2026-08-06T09:20:22+00:00,
AL_0033/2025-03-17/1,Y:\Subjects\AL_0033\2025-03-17\1\widefield.wfz,subjects/AL_0033/2025-03-17/1/widefield.wfz,682336506,True,682336506,2026-08-05T16:19:39+00:00,
ZYE_0035/2021-07-17/1,Y:\Subjects\ZYE_0035\2021-07-17\1\widefield.wfz,subjects/ZYE_0035/2021-07-17/1/widefield.wfz,721753613,True,721753613,2026-08-06T07:24:59+00:00,
AL_0048/2026-06-11/4,Y:\Subjects\AL_0048\2026-06-11\4\widefield.wfz,subjects/AL_0048/2026-06-11/4/widefield.wfz,1276669694,True,1276669694,2026-08-05T05:14:21+00:00,
Subjects/test/2025-11-04,Y:\Subjects\test\2025-11-04\1.wfz,subjects/test/2025-11-04/1.wfz,1441369072,True,1441369072,2026-08-06T09:07:32+00:00,
default/2025-03-05/3,Y:\Subjects\default\2025-03-05\3\widefield.wfz,subjects/default/2025-03-05/3/widefield.wfz,1860513193,True,1860513193,2026-08-06T09:13:27+00:00,
test/2025-11-05/1,Y:\Subjects\test\2025-11-05\1\1.wfz,subjects/test/2025-11-05/1/1.wfz,4193621602,True,4193621602,2026-08-06T09:07:48+00:00,
AL_0033/2025-02-24/3,Y:\Subjects\AL_0033\2025-02-24\3\3.wfz,subjects/AL_0033/2025-02-24/3/3.wfz,6001539791,True,6001539791,2026-08-05T16:12:17+00:00,
ZYE_0008/2020-07-25/1,Y:\Subjects\ZYE_0008\2020-07-25\1\widefield.wfz,subjects/ZYE_0008/2020-07-25/1/widefield.wfz,8870590325,True,8870590325,2026-08-06T06:35:34+00:00,
SM_0001/2020-09-03/1,Y:\Subjects\SM_0001\2020-09-03\1\widefield.wfz,subjects/SM_0001/2020-09-03/1/widefield.wfz,12918583663,True,12918583663,2026-08-06T03:04:45+00:00,
AL_0023/2023-05-15/5,Y:\Subjects\AL_0023\2023-05-15\5\widefield.wfz,subjects/AL_0023/2023-05-15/5/widefield.wfz,13216733344,True,13216733344,2026-08-05T05:08:51+00:00,
ZYE_0007/2020-07-29/1,Y:\Subjects\ZYE_0007\2020-07-29\1\widefield.wfz,subjects/ZYE_0007/2020-07-29/1/widefield.wfz,14704817866,True,14704817866,2026-08-06T06:35:58+00:00,
ZYE_0046/2021-11-27/2,Y:\Subjects\ZYE_0046\2021-11-27\2\widefield.wfz,subjects/ZYE_0046/2021-11-27/2/widefield.wfz,192366063076,True,192366063076,2026-08-06T07:37:09+00:00,
AL_0033/2025-01-17/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-17\1\widefield.wfz,subjects/AL_0033/2025-01-17/1/widefield.wfz,122923655024,True,122923655024,2026-08-05T16:08:55+00:00,
ZYE_0069/2023-11-20/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-11-20\1\widefield.wfz,subjects/ZYE_0069/2023-11-20/1/widefield.wfz,130299116292,True,130299116292,2026-08-06T07:38:38+00:00,
AL_0033/2025-06-08/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-08\2\widefield.wfz,subjects/AL_0033/2025-06-08/2/widefield.wfz,121988449690,True,121988449690,2026-08-05T23:01:49+00:00,
AL_0033/2025-06-06/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-06\3\widefield.wfz,subjects/AL_0033/2025-06-06/3/widefield.wfz,127552796550,True,127552796550,2026-08-05T16:58:21+00:00,
AL_0039/2025-04-26/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-04-26\1\widefield.wfz,subjects/AL_0039/2025-04-26/1/widefield.wfz,131702309610,True,131702309610,2026-08-05T05:16:31+00:00,
AL_0033/2025-04-28/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-28\1\widefield.wfz,subjects/AL_0033/2025-04-28/1/widefield.wfz,129788354030,True,129788354030,2026-08-05T16:37:20+00:00,
ZYE_0046/2021-11-29/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0046\2021-11-29\1\widefield.wfz,subjects/ZYE_0046/2021-11-29/1/widefield.wfz,155571900071,True,155571900071,2026-08-06T07:37:50+00:00,
AB_0032/2024-04-16/1,\\sahale.biostr.washington.edu\data\Subjects\AB_0032\2024-04-16\1\widefield.wfz,subjects/AB_0032/2024-04-16/1/widefield.wfz,145981130097,True,145981130097,2026-08-05T05:12:40+00:00,
AL_0033/2025-03-03/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-03-03\2\widefield.wfz,subjects/AL_0033/2025-03-03/2/widefield.wfz,112440590229,True,112440590229,2026-08-05T16:17:51+00:00,
AL_0033/2025-06-07/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-06-07\3\widefield.wfz,subjects/AL_0033/2025-06-07/3/widefield.wfz,116864674076,True,116864674076,2026-08-05T17:00:35+00:00,
AL_0041/2026-05-27/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2026-05-27\1\widefield.wfz,subjects/AL_0041/2026-05-27/1/widefield.wfz,103444599577,True,103444599577,2026-08-05T16:16:11+00:00,
LK_0003/2021-05-21/3,\\sahale.biostr.washington.edu\data\Subjects\LK_0003\2021-05-21\3\widefield.wfz,subjects/LK_0003/2021-05-21/3/widefield.wfz,118495014848,True,118495014848,2026-08-05T23:09:28+00:00,
ZYE_0012/2020-12-03/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0012\2020-12-03\1\widefield.wfz,subjects/ZYE_0012/2020-12-03/1/widefield.wfz,125116891125,True,125116891125,2026-08-06T06:44:58+00:00,
LK_0001/2021-04-06/2,\\sahale.biostr.washington.edu\data\Subjects\LK_0001\2021-04-06\2\widefield.wfz,subjects/LK_0001/2021-04-06/2/widefield.wfz,132876272972,True,132876272972,2026-08-05T21:16:58+00:00,
ZYE_0069/2023-08-17/5,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0069\2023-08-17\5\widefield.wfz,subjects/ZYE_0069/2023-08-17/5/widefield.wfz,115728777689,True,115728777689,2026-08-06T07:39:53+00:00,
LK_0001/2021-04-07/1,\\sahale.biostr.washington.edu\data\Subjects\LK_0001\2021-04-07\1\widefield.wfz,subjects/LK_0001/2021-04-07/1/widefield.wfz,126112644720,True,126112644720,2026-08-05T21:16:11+00:00,
AL_0033/2025-04-18/4,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-04-18\4\widefield.wfz,subjects/AL_0033/2025-04-18/4/widefield.wfz,101477536803,True,101477536803,2026-08-07T21:27:03+00:00,
AL_0033/2024-07-12/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2024-07-12\1\widefield.wfz,subjects/AL_0033/2024-07-12/1/widefield.wfz,104451825215,True,104451825215,2026-08-08T01:13:09+00:00,
AL_0033/2025-01-21/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-21\1\widefield.wfz,subjects/AL_0033/2025-01-21/1/widefield.wfz,103769452226,True,103769452226,2026-08-07T16:22:45+00:00,
AL_0048/2026-07-10/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0048\2026-07-10\3\widefield.wfz,subjects/AL_0048/2026-07-10/3/widefield.wfz,99197475690,True,99197475690,2026-08-07T01:02:56+00:00,
ZYE_0058/2022-03-09/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0058\2022-03-09\1\widefield.wfz,subjects/ZYE_0058/2022-03-09/1/widefield.wfz,113769903627,True,113769903627,2026-08-06T07:39:36+00:00,
