session,wfz,b2_key,local_bytes,in_b2,b2_bytes,b2_uploaded_utc,error
ZYE_0091/2024-07-08/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0091\2024-07-08\1\widefield.wfz,subjects/ZYE_0091/2024-07-08/1/widefield.wfz,41141533240,True,41141533240,2026-08-24T11:18:20+00:00,
DO_0005/2020-11-16/1,\\sahale.biostr.washington.edu\data\Subjects\DO_0005\2020-11-16\1\widefield.wfz,subjects/DO_0005/2020-11-16/1/widefield.wfz,46723942768,False,,,FileNotPresent
AL_0032/2024-06-11/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0032\2024-06-11\1\widefield.wfz,subjects/AL_0032/2024-06-11/1/widefield.wfz,41152614901,False,,,FileNotPresent
ZYE_0097/2025-07-15/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0097\2025-07-15\1\widefield.wfz,subjects/ZYE_0097/2025-07-15/1/widefield.wfz,40849342871,True,40849342871,2026-08-24T09:54:28+00:00,
ZYE_0094/2025-07-26/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0094\2025-07-26\1\widefield.wfz,subjects/ZYE_0094/2025-07-26/1/widefield.wfz,38396033765,True,38396033765,2026-08-24T11:39:36+00:00,
FD_008/2026-06-22/1,\\sahale.biostr.washington.edu\data\Subjects\FD_008\2026-06-22\1\widefield.wfz,subjects/FD_008/2026-06-22/1/widefield.wfz,38314931212,False,,,FileNotPresent
DO_0005/2020-12-03/1,\\sahale.biostr.washington.edu\data\Subjects\DO_0005\2020-12-03\1\widefield.wfz,subjects/DO_0005/2020-12-03/1/widefield.wfz,45562411121,False,,,FileNotPresent
FD_011/2026-04-02/1,\\sahale.biostr.washington.edu\data\Subjects\FD_011\2026-04-02\1\widefield.wfz,subjects/FD_011/2026-04-02/1/widefield.wfz,35714360778,False,,,FileNotPresent
AL_0033/2025-08-07/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-08-07\1\widefield.wfz,subjects/AL_0033/2025-08-07/1/widefield.wfz,40244078818,False,,,FileNotPresent
AL_0033/2025-01-20/3,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-01-20\3\widefield.wfz,subjects/AL_0033/2025-01-20/3/widefield.wfz,37641680633,False,,,FileNotPresent
ZYE_0090/2024-08-18/3,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0090\2024-08-18\3\widefield.wfz,subjects/ZYE_0090/2024-08-18/3/widefield.wfz,41031374794,True,41031374794,2026-08-24T14:21:51+00:00,
AL_0033/2025-08-08/2,\\sahale.biostr.washington.edu\data\Subjects\AL_0033\2025-08-08\2\widefield.wfz,subjects/AL_0033/2025-08-08/2/widefield.wfz,39946722288,False,,,FileNotPresent
ZYE_0092/2025-06-24/1,\\sahale.biostr.washington.edu\data\Subjects\ZYE_0092\2025-06-24\1\widefield.wfz,subjects/ZYE_0092/2025-06-24/1/widefield.wfz,35584205943,True,35584205943,2026-08-24T09:57:41+00:00,
AL_0039/2025-04-19/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0039\2025-04-19\1\widefield.wfz,subjects/AL_0039/2025-04-19/1/widefield.wfz,42207487363,False,,,FileNotPresent
AL_0041/2025-12-10/1,\\sahale.biostr.washington.edu\data\Subjects\AL_0041\2025-12-10\1\widefield.wfz,subjects/AL_0041/2025-12-10/1/widefield.wfz,40106040938,False,,,FileNotPresent
